T11.0   	  R1.64
2467.0 	2085.13240 
2468.0 	2085.50826 
2469.0 	2085.88411 
2470.0 	2086.25997 
2471.0 	2086.63582 
2472.0 	2087.01168 
2473.0 	2087.38754 
2474.0 	2087.76339 
2475.0 	2088.13925 
2476.0 	2088.51510 
2477.0 	2088.89096 
2478.0 	2089.26681 
2479.0 	2089.64267 
2480.0 	2090.01852 
2481.0 	2090.39438 
2482.0 	2090.77024 
2483.0 	2091.14609 
2484.0 	2091.52195 
2485.0 	2091.89780 
2486.0 	2092.27366 
2487.0 	2092.38404 
2488.0 	2092.06532 
2489.0 	2091.74661 
2490.0 	2091.42789 
2491.0 	2091.10917 
2492.0 	2090.79046 
2493.0 	2090.47174 
2494.0 	2090.15303 
2495.0 	2089.83431 
2496.0 	2089.51560 
2497.0 	2089.19688 
2498.0 	2088.87817 
2499.0 	2088.55945 
2500.0 	2088.24074 
2501.0 	2087.92202 
2502.0 	2087.60330 
2503.0 	2087.28459 
2504.0 	2086.96587 
2505.0 	2086.64716 
2506.0 	2086.32844 
2507.0 	2086.00973 
2508.0 	2085.69101 
2509.0 	2085.37230 
2510.0 	2085.05358 
2511.0 	2084.73487 
2512.0 	2084.41615 
2513.0 	2084.09744 
2514.0 	2083.77872 
2515.0 	2083.46000 
2516.0 	2083.14129 
2517.0 	2082.20885 
2518.0 	2081.27035 
2519.0 	2080.33185 
2520.0 	2079.39334 
2521.0 	2078.45484 
2522.0 	2077.51634 
2523.0 	2076.57784 
2524.0 	2075.63934 
2525.0 	2074.70084 
2526.0 	2073.76234 
2527.0 	2072.82384 
2528.0 	2071.88534 
2529.0 	2070.94684 
2530.0 	2070.00833 
2531.0 	2069.06983 
2532.0 	2068.13133 
2533.0 	2067.19283 
2534.0 	2066.25433 
2535.0 	2065.31583 
2536.0 	2064.37733 
2537.0 	2063.43883 
2538.0 	2062.50033 
2539.0 	2061.56182 
2540.0 	2060.62332 
2541.0 	2059.68482 
2542.0 	2058.74632 
2543.0 	2057.80782 
2544.0 	2056.86932 
2545.0 	2055.88081 
2546.0 	2054.77180 
2547.0 	2053.66279 
2548.0 	2052.55378 
2549.0 	2051.44477 
